,ticker,periodOfReport,linkToFilingDetails,formType,cik
162,MRO,2014-03-31,https://www.sec.gov/Archives/edgar/data/101778/000010177814000026/mro-2014331x10q.htm,10-Q,101778
163,MRO,2013-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177813000049/mro-2013930x10q.htm,10-Q,101778
164,MRO,2013-06-30,https://www.sec.gov/Archives/edgar/data/101778/000010177813000034/mro-2013630x10q.htm,10-Q,101778
165,MRO,2013-03-31,https://www.sec.gov/Archives/edgar/data/101778/000010177813000019/mro-2013331x10q.htm,10-Q,101778
166,MRO,2012-09-30,https://www.sec.gov/Archives/edgar/data/101778/000010177812000029/mro-2012930x10q.htm,10-Q,101778
167,MRO,2012-06-30,https://www.sec.gov/Archives/edgar/data/101778/000114036112035104/form10q2012q1.htm,10-Q,101778
168,DVN,2022-03-31,https://www.sec.gov/Archives/edgar/data/1090012/000095017022007007/dvn-20220331.htm,10-Q,1090012
169,DVN,2021-09-30,https://www.sec.gov/Archives/edgar/data/1090012/000156459021053780/dvn-10q_20210930.htm,10-Q,1090012
170,DVN,2021-06-30,https://www.sec.gov/Archives/edgar/data/1090012/000156459021040600/dvn-10q_20210630.htm,10-Q,1090012
171,DVN,2021-03-31,https://www.sec.gov/Archives/edgar/data/1090012/000156459021023786/dvn-10q_20210331.htm,10-Q,1090012
172,DVN,2020-09-30,https://www.sec.gov/Archives/edgar/data/1090012/000156459020049203/dvn-10q_20200930.htm,10-Q,1090012
173,DVN,2020-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000156459020036568/dvn-10q_20200630.htm,10-Q,1090012
174,DVN,2020-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000156459020021639/dvn-10q_20200331.htm,10-Q,1090012
175,DVN,2019-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000156459019040774/dvn-10q_20190930.htm,10-Q,1090012
176,DVN,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000156459019029786/dvn-10q_20190630.htm,10-Q,1090012
177,DVN,2019-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000156459019014637/dvn-10q_20190331.htm,10-Q,1090012
178,DVN,2018-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000156459018027813/dvn-10q_20180930.htm,10-Q,1090012
179,DVN,2018-06-30,https://www.sec.gov/Archives/edgar/data/1090012/000156459018018317/dvn-10q_20180630.htm,10-Q,1090012
180,DVN,2018-03-31,https://www.sec.gov/Archives/edgar/data/1090012/000156459018010177/dvn-10q_20180331.htm,10-Q,1090012
181,DVN,2017-09-30,https://www.sec.gov/Archives/edgar/data/1090012/000156459017020684/dvn-10q_20170930.htm,10-Q,1090012
182,DVN,2017-06-30,https://www.sec.gov/Archives/edgar/data/1090012/000156459017014800/dvn-10q_20170630.htm,10-Q,1090012
183,DVN,2017-03-31,https://www.sec.gov/Archives/edgar/data/1090012/000156459017008268/dvn-10q_20170331.htm,10-Q,1090012
184,DVN,2016-09-30,https://www.sec.gov/Archives/edgar/data/1090012/000156459016026889/dvn-10q_20160930.htm,10-Q,1090012
185,DVN,2016-06-30,https://www.sec.gov/Archives/edgar/data/1090012/000156459016022255/dvn-10q_20160630.htm,10-Q,1090012
186,DVN,2016-03-31,https://www.sec.gov/Archives/edgar/data/1090012/000119312516577021/d172210d10q.htm,10-Q,1090012
187,DVN,2015-09-30,https://www.sec.gov/Archives/edgar/data/1090012/000119312515365650/d23744d10q.htm,10-Q,1090012
188,DVN,2015-06-30,https://www.sec.gov/Archives/edgar/data/1090012/000119312515278454/d26549d10q.htm,10-Q,1090012
189,DVN,2015-03-31,https://www.sec.gov/Archives/edgar/data/1090012/000119312515174003/d913733d10q.htm,10-Q,1090012
190,DVN,2014-09-30,https://www.sec.gov/Archives/edgar/data/1090012/000119312514397861/d808328d10q.htm,10-Q,1090012
191,DVN,2014-06-30,https://www.sec.gov/Archives/edgar/data/1090012/000119312514298369/d761940d10q.htm,10-Q,1090012
